date,time,weekday,location_id,location_name,gym_people_num,gym_max_people_num,sw_people_num,sw_max_people_num
2026-08-12,20:04,Wednesday,ZSSC,中山,41,50,63,150
2026-08-12,23:32,Wednesday,BTSC,北投,0,60,0,200
2026-08-12,23:32,Wednesday,DASC,大安,0,80,0,250
2026-08-12,23:32,Wednesday,DTSC,大同,0,80,0,250
2026-08-12,23:32,Wednesday,JJSC,中正,0,150,0,200
2026-08-12,23:32,Wednesday,NGSC,南港,0,0,0,0
2026-08-12,23:32,Wednesday,NHSC,內湖,0,130,0,200
2026-08-12,23:32,Wednesday,SLSC,士林,0,100,0,200
2026-08-12,23:32,Wednesday,SSSC,松山,17,100,46,400
2026-08-12,23:32,Wednesday,WHSC,萬華,33,150,-1,100
2026-08-12,23:32,Wednesday,WSSC,文山,0,110,0,200
2026-08-12,23:32,Wednesday,XYSC,信義,0,65,0,165
2026-08-12,23:32,Wednesday,ZSSC,中山,0,50,0,150
2026-08-13,02:41,Thursday,WHSC,萬華,33,150,-1,100
2026-08-13,02:41,Thursday,BTSC,北投,0,60,0,200
2026-08-13,02:41,Thursday,DASC,大安,0,80,0,250
2026-08-13,02:41,Thursday,DTSC,大同,0,80,0,250
2026-08-13,02:41,Thursday,JJSC,中正,0,150,0,200
2026-08-13,02:41,Thursday,NGSC,南港,0,0,0,0
2026-08-13,02:41,Thursday,NHSC,內湖,0,130,0,200
2026-08-13,02:41,Thursday,SLSC,士林,0,100,0,200
2026-08-13,02:41,Thursday,SSSC,松山,0,100,0,400
2026-08-13,02:41,Thursday,WSSC,文山,0,110,0,200
2026-08-13,02:41,Thursday,XYSC,信義,0,65,0,165
2026-08-13,02:41,Thursday,ZSSC,中山,0,50,0,150
2026-08-13,05:25,Thursday,BTSC,北投,0,60,0,200
2026-08-13,05:25,Thursday,DASC,大安,0,80,0,250
2026-08-13,05:25,Thursday,DTSC,大同,0,80,0,250
2026-08-13,05:25,Thursday,JJSC,中正,0,150,0,200
2026-08-13,05:25,Thursday,NGSC,南港,0,0,0,0
2026-08-13,05:25,Thursday,NHSC,內湖,0,130,0,200
2026-08-13,05:25,Thursday,SLSC,士林,0,100,0,200
2026-08-13,05:25,Thursday,SSSC,松山,0,100,0,400
2026-08-13,05:25,Thursday,WSSC,文山,0,110,0,200
2026-08-13,05:25,Thursday,XYSC,信義,0,65,0,165
2026-08-13,05:25,Thursday,ZSSC,中山,0,50,0,150
2026-08-13,07:24,Thursday,BTSC,北投,8,60,69,200
2026-08-13,07:24,Thursday,DASC,大安,19,80,74,250
2026-08-13,07:24,Thursday,DTSC,大同,28,80,44,250
2026-08-13,07:24,Thursday,JJSC,中正,33,150,38,200
2026-08-13,07:24,Thursday,NGSC,南港,0,0,0,0
2026-08-13,07:24,Thursday,NHSC,內湖,26,130,41,200
2026-08-13,07:24,Thursday,SLSC,士林,28,100,57,200
2026-08-13,07:24,Thursday,SSSC,松山,30,100,110,400
2026-08-13,07:24,Thursday,WHSC,萬華,44,150,18,100
2026-08-13,07:24,Thursday,WSSC,文山,13,110,45,200
2026-08-13,07:24,Thursday,XYSC,信義,0,65,0,165
2026-08-13,07:24,Thursday,ZSSC,中山,11,50,37,150
2026-08-13,13:23,Thursday,BTSC,北投,8,60,266,200
2026-08-13,13:23,Thursday,DASC,大安,25,80,57,250
2026-08-13,13:23,Thursday,DTSC,大同,28,80,10,250
2026-08-13,13:23,Thursday,JJSC,中正,53,150,14,200
2026-08-13,13:23,Thursday,NGSC,南港,0,0,0,0
2026-08-13,13:23,Thursday,NHSC,內湖,30,130,44,200
2026-08-13,13:23,Thursday,SLSC,士林,26,100,46,200
2026-08-13,13:23,Thursday,SSSC,松山,40,100,134,400
2026-08-13,13:23,Thursday,WHSC,萬華,69,150,38,100
2026-08-13,13:23,Thursday,WSSC,文山,21,110,53,200
2026-08-13,13:23,Thursday,XYSC,信義,0,65,0,165
2026-08-13,13:23,Thursday,ZSSC,中山,16,50,41,150
2026-08-13,17:43,Thursday,BTSC,北投,23,60,380,200
2026-08-13,17:43,Thursday,DASC,大安,44,80,57,250
2026-08-13,17:43,Thursday,DTSC,大同,66,80,0,250
2026-08-13,17:43,Thursday,JJSC,中正,88,150,48,200
2026-08-13,17:43,Thursday,NGSC,南港,0,0,0,0
2026-08-13,17:43,Thursday,NHSC,內湖,77,130,57,200
2026-08-13,17:43,Thursday,SLSC,士林,51,100,41,200
2026-08-13,17:43,Thursday,SSSC,松山,56,100,166,400
2026-08-13,17:43,Thursday,WHSC,萬華,82,150,45,100
2026-08-13,17:43,Thursday,WSSC,文山,43,110,77,200
2026-08-13,17:43,Thursday,XYSC,信義,0,65,0,165
2026-08-13,17:43,Thursday,ZSSC,中山,14,50,36,150
2026-08-13,20:05,Thursday,BTSC,北投,30,60,445,200
2026-08-13,20:05,Thursday,DASC,大安,50,80,63,250
2026-08-13,20:05,Thursday,DTSC,大同,72,80,46,250
2026-08-13,20:05,Thursday,JJSC,中正,119,150,72,200
2026-08-13,20:05,Thursday,NGSC,南港,0,0,0,0
2026-08-13,20:05,Thursday,NHSC,內湖,101,130,90,200
2026-08-13,20:05,Thursday,SLSC,士林,44,100,72,200
2026-08-13,20:05,Thursday,SSSC,松山,65,100,225,400
2026-08-13,20:05,Thursday,WHSC,萬華,79,150,81,100
2026-08-13,20:05,Thursday,WSSC,文山,53,110,77,200
2026-08-13,20:05,Thursday,XYSC,信義,0,65,0,165
2026-08-13,20:05,Thursday,ZSSC,中山,46,50,7,150
2026-08-13,23:35,Thursday,BTSC,北投,0,60,0,200
2026-08-13,23:35,Thursday,DASC,大安,0,80,0,250
2026-08-13,23:35,Thursday,DTSC,大同,0,80,0,250
2026-08-13,23:35,Thursday,JJSC,中正,0,150,0,200
2026-08-13,23:35,Thursday,NGSC,南港,0,0,0,0
2026-08-13,23:35,Thursday,NHSC,內湖,0,130,0,200
2026-08-13,23:35,Thursday,SLSC,士林,0,100,0,200
2026-08-13,23:35,Thursday,SSSC,松山,12,100,85,400
2026-08-13,23:35,Thursday,WHSC,萬華,0,150,0,100
2026-08-13,23:35,Thursday,WSSC,文山,0,110,0,200
2026-08-13,23:35,Thursday,XYSC,信義,0,65,0,165
2026-08-13,23:35,Thursday,ZSSC,中山,0,50,0,150
2026-08-14,02:42,Friday,BTSC,北投,0,60,0,200
2026-08-14,02:42,Friday,DASC,大安,0,80,0,250
2026-08-14,02:42,Friday,DTSC,大同,0,80,0,250
2026-08-14,02:42,Friday,JJSC,中正,0,150,0,200
2026-08-14,02:42,Friday,NGSC,南港,0,0,0,0
2026-08-14,02:42,Friday,NHSC,內湖,0,130,0,200
2026-08-14,02:42,Friday,SLSC,士林,0,100,0,200
2026-08-14,02:42,Friday,SSSC,松山,0,100,0,400
2026-08-14,02:42,Friday,WHSC,萬華,0,150,0,100
2026-08-14,02:42,Friday,WSSC,文山,0,110,0,200
2026-08-14,02:42,Friday,XYSC,信義,0,65,0,165
2026-08-14,02:42,Friday,ZSSC,中山,0,50,0,150
2026-08-14,05:27,Friday,BTSC,北投,0,60,0,200
2026-08-14,05:27,Friday,DASC,大安,0,80,0,250
2026-08-14,05:27,Friday,DTSC,大同,0,80,0,250
2026-08-14,05:27,Friday,JJSC,中正,0,150,0,200
2026-08-14,05:27,Friday,NGSC,南港,0,0,0,0
2026-08-14,05:27,Friday,NHSC,內湖,0,130,0,200
2026-08-14,05:27,Friday,SLSC,士林,0,100,0,200
2026-08-14,05:27,Friday,SSSC,松山,0,100,0,400
2026-08-14,05:27,Friday,WHSC,萬華,0,150,0,100
2026-08-14,05:27,Friday,WSSC,文山,0,110,0,200
2026-08-14,05:27,Friday,XYSC,信義,0,65,0,165
2026-08-14,05:27,Friday,ZSSC,中山,0,50,0,150
2026-08-14,07:27,Friday,BTSC,北投,11,60,75,200
2026-08-14,07:27,Friday,DASC,大安,31,80,84,250
2026-08-14,07:27,Friday,DTSC,大同,37,80,50,250
2026-08-14,07:27,Friday,JJSC,中正,36,150,55,200
2026-08-14,07:27,Friday,NGSC,南港,0,0,0,0
2026-08-14,07:27,Friday,NHSC,內湖,28,130,34,200
2026-08-14,07:27,Friday,SLSC,士林,28,100,52,200
2026-08-14,07:27,Friday,SSSC,松山,27,100,121,400
2026-08-14,07:27,Friday,WHSC,萬華,14,150,19,100
2026-08-14,07:27,Friday,WSSC,文山,11,110,46,200
2026-08-14,07:27,Friday,XYSC,信義,0,65,0,165
